Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Indonesia,IDN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,39.3849400707168,41.2047736163784,39.9799603285306,39.6804980838497,40.6420443530252,41.8008374217654,43.4557840501119,44.3289567972257,45.2277705496239,43.3600616732301,41.9690746432197,47.8935007853871,47.7453311592597,43.7495660917608,44.6276159754602,46.5410588710711,46.9435587410796,46.7991415207073,48.0607447691736,47.6521225808009,42.7758663362749,43.9134234267133,43.5937444233376,42.6356774375889,41.9283421270033,40.0478624042506,39.3084439802081,39.3791548040237,39.7297374523848,38.9517679950779
Indonesia,IDN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4519.72279421074,4742.62212977584,4965.13361031459,5200.0227442927,5500.55260223232,5856.2118918875,6212.67127630574,6401.21516886271,5474.59756974555,5435.75524913938,5621.26204060619,5744.4939876684,5921.07784705598,6121.66619160837,6348.29457923284,6625.61466463893,6899.85120376475,7242.01816575882,7578.20522099801,7828.80918811281,8212.63445355321,8610.52884835933,9015.80086111248,9402.1079541146,9759.02520719293,10121.8409246605,10519.2950589966,10941.9209510231,11397.4314013759,11857.7891170417
Indonesia,IDN,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,5.42,5.34,5.3,5.07,5.14,4.94,4.79,4.48,4.3,4.34,4.26,4.1,3.84,3.5,3.48,3.26,3.18,3.17,3.24,3.19
Indonesia,IDN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,59.18,58.44,57.45,56.06,53.41,50.68,49.26,47.57,48.85,45.8,45.63,44.33,44.66,43,41.46,41.57,40.07,40.01,41.12,38.18,35.96,32.39,30.09,30.63,29.29,26.58,27.77,24.88,22.05,19.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
