Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
South Africa,ZAF,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,35.6076007199649,34.4217067552365,33.060858320151,31.9307593029594,31.230316330669,30.9818655662995,29.8899862560641,29.2506309429667,28.576366566325,27.6656022125323,28.2297555130289,28.531613122664,28.5059160154765,26.8928680646111,26.3036366679746,26.0150792659507,24.8591176319147,25.2946183090828,26.9415561091344,25.7430761887593,25.3034630993363,24.8394911507999,24.4686002355753,24.5517417673484,24.3052820058227,23.7323079746326,23.7825372977493,23.6105564945197,23.5370608395603,23.6220152849338
South Africa,ZAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10391.9641372736,10026.3258619189,9612.39287354997,9555.98676231145,9692.53576577695,9829.86194917381,10097.4734410978,10217.3802098944,10141.4625866768,10270.0635127732,10598.8606692111,10789.0511568288,11086.9236951498,11308.883210532,11713.8803526014,12216.027640682,12776.8779423633,13325.9828253027,13596.2876856155,13228.8947859859,13469.3611288778,13721.6851258725,13864.9709646367,14017.411014966,13993.2701443039,13887.2112158037,13844.2759627887,13950.4534761192,13995.0628999187,13850.8951466656
South Africa,ZAF,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,9.22,8.65,7.94,8.66,9.01,8.24,7.94,8.19,8.61,8.86,7.99,7.89,7.36,7.13,7.44,6.95,7.16,7.05,6.75,6.72
South Africa,ZAF,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,16.63,17.47,18.37,18.59,18.57,18.12,17.44,17.11,17.28,17.67,16.18,15.01,13.28,12.07,11.1,9.89,9.42,8.86,9.9,9.37,9.65,9.23,8.49,7.94,7.72,7.73,7.97,8.03,8.07,8.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
