Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,30.0477489768076,29.6032934131737,36.536586377876,32.1487261146497,27.6519081932212,30.9963445496298,35.1496743028617,36.9914194345059,34.9561123059931,39.1035999046383,42.5383099128887,43.4626382722552,46.1542268041237,48.5398446792136,50.7690323790767,58.5242563385905,65.153471103477,66.1211896828335,65.710363453355,56.3585803968934,59.7713411044389,61.7328443608156,59.4557912599989,57.0544154549517,53.5868546669355,44.8913203383597,47.5578070076723,49.7017251037138,52.250536882585
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7616.91027506113,7463.62885967495,5690.18091817449,4309.92146212108,3414.51120535595,2976.99522138353,2985.3371754857,3128.1641351317,3408.4753810397,3628.71688349932,3998.52048313078,4360.45944142426,4736.56437632615,5180.68645770222,5610.76313748494,7106.59790726031,9453.94185980601,11684.1915431474,12672.3762154835,13565.8550922117,14082.2381481679,13913.8366943419,14027.468790254,14651.693970776,14867.9437345406,14852.6117080302,14232.1926180142,14121.4069355591,14209.5931685619
Azerbaijan,AZE,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,14.7,13.55,12.51,11.94,11.49,9.43,6.91,5.23,5.24,4.29,3.88,4.2,4.47,4.28,4.3,4.26,4.35,4.37,4.32
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.72,0.8,1.22,1.98,1.52,1.37,1.74,1.99,2.48,2.14,2.07,1.75,2.35,2.94,3.07,3.36,2.86,3.78,3.08,3.27,4.45,3.55,2.84,2.52,2.12,2.33,1.94,1.91,1.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
