Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Iran, Islamic Rep.",IRN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.7998198191744,33.3941037714113,33.5415741517344,42.0293502411673,43.3701571034813,39.4404238926395,42.0825362538256,38.7114436749453,32.503553412738,37.4588861767316,40.3059101611596,39.9172619780987,45.5029348794145,45.0599495540528,47.470472480013,49.6372490535759,48.2599008755093,48.2356631347908,47.6687887773276,43.096517297254,44.2093794195433,46.2322885720867,42.0941632127048,42.7788684660113,39.2282280462404,32.1747396532203,34.3675077733414,36.2293263183706,37.3527826815852
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9442.24811639528,10239.6812398972,10331.3291969634,10114.0394763845,9904.10017026898,10006.9331482823,10503.5924565637,10495.1313284254,10547.8397286263,10589.9847092262,11026.1018074245,11098.4462354911,11878.8623553332,12785.9301387295,13126.5825530942,13328.9563938206,13780.727930618,14689.5604477748,14525.7602467185,14473.8328900095,15099.4601945819,15302.2019356122,14541.8493733631,14113.4577883095,14538.5218696862,14010.8582615974,14968.595046498,15163.292311303,14691.1844623114
"Iran, Islamic Rep.",IRN,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,7.13,7.55,7.23,6.87,7.19,7.73,7.69,7.53,8.05,7.95,7.52,7.47,8.1,8.39,8.57,8.68,8.24,8.73,9.14
"Iran, Islamic Rep.",IRN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.24,1.23,1.45,1.53,1.09,1.02,1.03,0.9,0.84,0.59,0.44,0.52,0.67,0.83,0.74,1.4,1.4,1.3,0.7,0.78,0.9,0.92,0.93,0.99,0.93,0.91,1.04,0.98,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
