Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Russian Federation,RUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,45.0035703197765,45.8648552020021,42.2502714360863,40.5255052183546,41.2152926729431,34.5391926383218,35.3467042522777,34.6892270441073,33.9440292391723,33.4962012517122,33.91897031752,31.8373541233321,29.0563928119662,28.6531349946058,31.7022224269588,32.6292320732921,31.7802605873621,31.2220408019737,30.7868817007532,29.3269390255444,29.999588218512,29.4135888378747,29.102868072666,28.1912891799352,27.9315270606099,29.7940599874349,29.1739050669208,30.6732968853437,32.5542980530841
Russian Federation,RUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,21482.75,20340.1328125,17367.642578125,15870.6064453125,13880.4658203125,13308.205078125,12827.1171875,13028.208984375,12358.1533203125,13189.7939453125,14569.9375,15378.0908203125,16175.09765625,17434.80859375,18765.51953125,20042.814453125,21757.466796875,23647.267578125,24887.853515625,22939.6953125,23961.220703125,24972.080078125,25933.29296875,26332.3984375,26057.15625,25488.09765625,25490.708984375,25926.4453125,26656.41015625
Russian Federation,RUS,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,12.14,11.67,11.1,10.71,10.03,9.49,9.02,8.34,8.11,8.27,8.48,8.39,8.17,7.8,7.76,7.77,7.99,7.99,8.25
Russian Federation,RUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.75,3.77,3.98,4.04,3.87,3.87,3.69,3.75,3.58,3.82,3.5,3.62,3.46,3.28,3.55,3.61,3.48,3.67,3.31,3.6,3.34,3.23,3.24,3.61,3.3,3.2,3.36,3.25,3.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
