Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United States,USA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,..,..,..,..,..,23.1321011361316,22.6705577802122,22.5585977336559,22.451586084268,21.4690044492824,20.65246551384,20.7394766935216,20.9500365551967,21.206269818199,21.5869617861711,21.423882162085,20.793507368224,19.2684772980173,19.3102572393851,19.407502343174,19.1626113169507,19.2416260217373,19.3315152083176,18.5871320435183,18.0422212818459,18.4354240836094,18.6308982431189,18.2804280414808
United States,USA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,40451.498404837,39871.3429640464,40707.2906306151,41279.5165015913,42419.1953650407,43042.2138221145,44149.371128755,45560.9201445595,47050.9950828359,48743.8828368156,50169.8563622622,50149.8286916684,50529.349581757,51497.7346884645,52989.0306944184,54331.6583361399,55307.7191487452,55885.6461740938,55427.1782729987,53514.9317967918,54510.4656195265,54954.4639140964,55796.9719189018,56432.3277678137,57301.6004243398,58420.7030402533,58965.9874885429,59907.7542608847,61348.4565959474,62470.9299128669
United States,USA,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,6.72,6.53,6.5,6.33,6.23,6.04,5.82,5.81,5.65,5.52,5.5,5.34,5.13,5.13,5.07,4.89,4.75,4.63,4.63,4.52
United States,USA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,4.18,4.51,4.76,4.28,4.09,4.73,4.76,4.51,4.53,5.71,5.43,4.68,4.84,5.33,5.48,5.84,6.4,6.3,6.85,7.35,7.44,8.36,8.73,9.08,9.22,9.03,9.46,9.92,10.12,10.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
