Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Iraq,IRQ,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,72.2523311846799,51.0494304101612,52.2320699445045,57.858260098263,55.8864428208257,64.8653587032535,58.4465108240142,75.0202754310169,70.1470884871537,79.5741068177302,84.7959791546848,77.4195775516813,74.1578564186036,70.8382337998589,61.8350607638528,63.6084344986755,61.4441919202983,60.1077106310903,62.788858419665,51.989792420915,55.7934951548678,62.5480287876873,60.576988513607,57.69152678908,55.3075963759279,45.340288824262,46.1825020614016,51.3296814634291,54.1699427538136
Iraq,IRQ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7449.47165519372,2650.08686859727,3410.74050796603,4234.24060307969,4190.64124949592,4136.32567794509,4445.6526301155,5222.93007442054,6822.68101557592,7763.87253380592,8779.79256224462,8654.4536914468,7693.8580387526,4726.97404754069,7044.68682517054,6952.88933062596,7292.88705724069,7493.8439168457,7955.69609819,7933.82117632727,8178.30525184649,8493.08246699665,9251.98240288708,9503.87503980183,9194.86407751355,9371.21348719184,10404.2038670674,9976.85494186285,9995.04951307618
Iraq,IRQ,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,5.16,5.68,5.89,8.24,5.77,5.66,5.21,5.03,5.02,5.21,5.41,5.51,5.35,5.15,4.9,4.44,4.19,4.94,5.45
Iraq,IRQ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.6,0.75,0.49,0.41,0.37,0.39,0.36,0.38,0.38,0.38,0.36,0.35,0.31,0.35,0.36,2.43,2.56,2,1.15,1.21,1.67,1.14,1.3,1.46,1,0.82,0.94,0.57,0.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
