Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Mexico,MEX,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.146929748992,25.7497952510099,25.7259806632477,32.988359126776,32.5699823148334,33.2922227310393,34.3418670588648,34.7740825559179,34.1578193379962,34.2460385348222,34.3868003231242,33.3084037538324,32.8645004977596,31.5006616846741,33.0062868204379,33.0531376330316,34.3856666762716,34.0245019488822,34.8480623851965,31.9993138791207,32.5394870561754,33.823102209528,34.0963424850396,32.1682751121876,31.9175541132511,30.8402535932226,30.6167913899857,31.9586846717624,32.043865451756,31.7765708687274
Mexico,MEX,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,16370.8687585589,16688.6479636838,16950.3720078819,17103.2451056248,17517.9681603527,16179.3773628781,16882.0456470413,17787.294662609,18571.7182405701,18772.8567899305,19407.0334899145,19023.9268316634,18692.5352274513,18634.8964558406,19017.7538141902,19144.014627364,19792.7587802791,19939.8350559537,19874.4152305522,18394.3672604033,19054.3576558091,19431.2011214269,19842.564109086,19749.7857197622,19994.5013552979,20296.5672169242,20423.5593353977,20582.2523679391,20789.3610427692,20553.9544541494
Mexico,MEX,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,3.6,3.72,3.76,3.97,3.89,4.01,3.9,3.8,3.78,3.9,3.68,3.72,3.68,3.64,3.47,3.3,3.21,3.07,3.06,3.04
Mexico,MEX,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,14.41,13.2,13.43,13.3,11.86,13.26,13.07,12.7,12.24,12.75,12.17,11.34,10.68,10.17,10.21,10.31,9.82,9.46,9.77,9.17,9.36,9.07,8.97,9.23,9.76,9.19,9.22,9.99,10.16,10.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
