Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Viet Nam,VNM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.6742938863068,23.7944385779655,27.2635978721094,28.9003122816524,28.8684508272934,28.755919822449,29.7298886912026,32.0751347955985,32.4912677242346,34.4947517390022,36.7307753268455,38.1294216644677,38.4866787864761,39.4700078083864,40.2087495299221,38.1311399002846,38.5847310338981,38.5116248479069,37.0776963788801,37.3881863793419,33.0228771360018,34.5804087805379,35.8602323946769,35.5751504377369,35.2985684880329,34.2665466382121,34.1152288612379,35.3903640729734,36.542433408644,36.8031368977555
Viet Nam,VNM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2099.3946183871,2177.47371213606,2317.26663405709,2455.50874667143,2623.71998364772,2825.01640197646,3039.93799643061,3239.68159867516,3378.90478456605,3495.09791737933,3690.86811242299,3879.3389011208,4082.37336832724,4319.37395129533,4597.75718993323,4895.34658782105,5186.43198895153,5503.07233984225,5757.92383165782,6006.5800610542,6324.52593571084,6658.66688960272,6950.28738674785,7257.72968107476,7641.90942838655,8091.08934858777,8545.70177595225,9050.68788675827,9636.01320425316,10252.0036300109
Viet Nam,VNM,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,4.13,4.14,4.25,4.18,4.31,4.25,4.07,4.09,4.14,4.29,4.44,4.18,4.01,3.91,4.11,3.54,3.65,3.55,3.91,4.11
Viet Nam,VNM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,75.91,75.46,74.52,70.62,67.77,64.88,62.61,60.53,59.23,59.32,57.73,56.14,52.2,50.83,45.77,44.15,44.25,41.9,39.26,36.97,34.58,36.33,37.91,37.37,36.69,26.54,26.97,28.52,24.59,20.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
