Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,33.2718833933397,31.7672428092758,34.1322718402493,37.2991204114669,35.4209197179743,23.3814603902749,22.340114560034,22.5941476157036,22.1187903791379,21.746711247782,23.0066186321239,22.6395279130452,22.4953278200255,23.0838178175003,24.306623290035,24.1725782837817,23.5440216746889,23.1253804129963,23.0852937615048,21.8785926310338,23.267977354744,23.1020509681285,22.1336473656008,21.2248099517239,20.4724627523359,19.3600439758784,18.3547582819084,18.1885023124362,18.7490514539899,18.7546275752859
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10401.8424448513,10328.9571222146,10103.7879427818,10431.4096597108,10867.7509166537,11151.1916421663,11224.3994564811,11432.650568882,11304.0969954989,11196.8385320758,11529.4866151644,11536.3638321407,11739.4318434051,11733.4111975412,12268.6638325485,12520.8549899009,12877.4441830466,13518.8477758477,14067.9458125763,13916.9632254972,14824.7411544273,15271.4693518003,15425.3529285957,15751.4844481235,15695.6431041785,15011.5771943529,14402.4940082453,14477.8617680601,14619.5911298271,14685.1278924674
Brazil,BRA,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,3.88,3.9,3.89,3.91,3.9,3.88,3.86,3.85,3.86,3.74,3.85,3.75,3.82,3.88,3.98,4.05,4.03,4.05,3.93,3.94
Brazil,BRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,49.82,48.89,48.65,48.15,48.3,46.08,44.48,43.66,43.79,43.98,42.66,41.33,42.85,45.11,45.18,46.13,46.67,47.19,47.04,48.92,46.81,45.26,43.49,42.32,41.71,43.62,45.46,45.33,46.95,47.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
