Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.0610690169089,31.5408458335271,31.1790632248246,29.8229835895656,32.0810894530806,32.0201334214309,30.6180467026302,30.779855912303,31.0354136220481,28.2861088812238,26.7974121691922,25.5036230941505,24.5917198534204,24.793687556953,25.106957159901,25.2372832993273,26.0338457311938,26.3739482496167,26.1477819657582,24.023846410786,24.4901518196324,26.8375169369019,26.6493473537611,27.6799921784829,28.1166611892662,27.8343492901217,28.0829597706854,29.1317212602651,29.4385940636494,27.3317017122106
Turkiye,TUR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12535.9196393844,12398.6563588612,12796.127323353,13536.2209483881,12679.874810599,13449.2756277799,14205.066788744,15036.1769896386,15158.999506441,14445.3857396939,15223.3516934721,14136.6705970308,14839.1305823145,15488.1102122939,16775.0791956695,18038.8129252324,19043.6222765122,19845.3352230165,19755.464889716,18544.8781724656,19804.4615651713,21701.7020407689,22452.8440481953,24047.2922506099,24897.0014082098,26061.8315185663,26568.0196460284,28193.1744851997,28652.2115909444,28476.6828439244
Turkiye,TUR,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,3.27,3.2,3.17,3.18,2.97,2.84,2.94,3.02,2.94,3.08,3.06,2.92,2.92,2.63,2.59,2.65,2.72,2.71,2.59,2.61
Turkiye,TUR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,24.37,23.98,23.98,23.55,24.05,21.9,21.04,20.69,21.53,20.47,17.29,18.12,17.49,16.29,16.78,15.34,14.23,12.48,12.53,13.12,14.21,12.68,13.03,13.8,11.51,13.34,13.23,11.4,11.83,14.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
