Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
India,IND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,27.4536954957201,26.4417201769254,26.7927432696344,26.7815542820739,27.6282012473106,28.5998094242024,27.9122703698412,27.8370307633106,27.3030378517565,26.5192933488596,27.3258283775917,26.4877773440307,27.6606541607882,27.4741071211988,29.2191063048345,29.5337641906064,30.9272399429001,30.9032382502852,31.1367192401849,31.1213721119188,30.7250782283702,30.1616797632805,29.3985276907699,28.4048995596484,27.6564012022075,27.347391477662,26.6189999395592,26.5000166467405,26.412091901118,24.5914753072538
India,IND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1819.02159646295,1800.01090230508,1859.71485072705,1908.57822353569,1994.9439420935,2103.7271552174,2218.82434206077,2264.79557067678,2359.89255113262,2521.57665784077,2571.14965560006,2646.87822419974,2699.17810235231,2861.57470795016,3037.06381497404,3225.54433037317,3432.81925130587,3642.00241019468,3701.39547856844,3937.23764176378,4213.36299124625,4374.23227150159,4551.86212656465,4780.12034482464,5071.04708387161,5411.8755881967,5789.67806551014,6112.06664981487,6436.15340203879,6617.12986827963
India,IND,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,6.42,6.22,6.16,5.84,5.73,5.52,5.39,5.31,5.43,5.5,5.34,5.28,5.29,5.11,5.08,4.82,4.54,4.46,4.4,4.25
India,IND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,52.95,52,51.46,51.49,50.49,49.54,49.13,47.89,47.95,47.11,46.88,47.11,45.75,45.63,44.92,44.16,43.16,41.54,39.38,37.41,36.16,35.01,34.75,34.86,33.85,33.4,33.01,32.57,32.73,33.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
