Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.0218813478135,32.7225282556322,30.6839549022114,27.338739645861,26.7545586932878,26.3012103355498,26.5925606398683,27.1791508883114,26.7121357626278,26.1936304991129,25.9908360111364,25.2434339827333,30.5577370913046,32.6450990996503,28.816922006834,28.6263140439084,29.2032796652469,27.4152361334783,26.2724599395946,25.2842047993735,25.2587762576722,25.2126976058843,24.4290570649122,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.782123219335,23.7195923321304
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14136.5254005803,15209.4876309646,16190.510705998,17282.9649904397,18046.8929182229,17303.9238485647,18031.5481912295,19261.8986222468,19773.1763655293,18884.9431117375,18524.8096075258,17514.5041008813,15439.7446333669,16631.5739769268,17950.1512818383,19338.1461909357,20679.243097676,22316.2555259104,22992.390179143,21413.2831164661,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22747.2416575831
Argentina,ARG,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,3.69,3.59,3.99,3.97,4.04,3.68,3.58,3.44,3.42,3.35,3.26,3.18,3.3,3.31,3.4,3.36,3.41,3.32,3.31
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.57,8.42,9.01,9.68,9.97,10.18,8.64,9.72,9.62,8.79,9.85,11.51,11.62,10.82,9.29,9.64,9.18,7.72,7.65,8.59,8.79,8.83,8.61,8.91,9.79,9.4,9.38,10.37,10.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
